'2016-12-22 21:54:16',100053,22.8488,39.9681
'2016-12-22 22:04:16',100063,22.737,40.202
'2016-12-22 22:14:16',100035,22.6455,40.4486
'2016-12-22 22:24:16',100021,22.6811,40.5737
'2016-12-22 22:34:16',100018,22.6302,40.8017
'2016-12-22 22:44:16',100007,22.5082,41.1449
'2016-12-22 22:54:17',99995.4,22.2947,41.5403
'2016-12-22 23:04:17',100036,22.0405,42.0586
'2016-12-22 23:14:17',100036,21.8117,42.7057
'2016-12-22 23:24:17',100014,21.6236,43.2566
'2016-12-22 23:34:17',100020,21.4508,43.7256
'2016-12-22 23:44:17',99971.4,21.3186,44.0933
'2016-12-22 23:54:17',99940.7,21.1966,44.4894
'2016-12-23 00:04:17',99946.1,21.1254,44.78
'2016-12-23 00:14:17',99942.7,21.0339,45.1236
'2016-12-23 00:24:17',99967.4,20.978,45.3219
'2016-12-23 00:34:17',99977.1,20.8814,45.593
'2016-12-23 00:44:17',99961.3,20.7645,45.884
'2016-12-23 00:54:18',99935.5,20.673,46.0563
'2016-12-23 01:04:18',99924,20.5662,46.3535
'2016-12-23 01:14:18',99927.8,20.4849,46.2735
'2016-12-23 01:24:18',99928.1,20.434,46.6369
'2016-12-23 01:34:18',99946.3,20.373,46.768
'2016-12-23 01:44:18',99946.6,20.3222,46.9002
'2016-12-23 01:54:18',99966.9,20.2917,47.0509
'2016-12-23 02:04:18',99971.5,20.251,47.1401
'2016-12-23 02:14:18',99962.2,20.2104,47.2458
'2016-12-23 02:24:18',99958.5,20.1697,47.3239
'2016-12-23 02:34:18',99967.3,20.1544,47.4542
'2016-12-23 02:44:19',99949.2,20.129,47.4515
'2016-12-23 02:54:19',99924.8,20.0985,47.5362
'2016-12-23 03:04:19',99900.4,20.068,47.5275
'2016-12-23 03:14:19',99902.7,20.0477,47.5748
'2016-12-23 03:24:19',99919,20.0274,47.6056
'2016-12-23 03:34:19',99887.7,19.9714,47.7205
'2016-12-23 03:44:19',99836.9,19.9155,47.8408
'2016-12-23 03:54:19',99814.4,19.8443,47.9375
'2016-12-23 04:04:19',99817.4,19.7935,47.965
'2016-12-23 04:14:19',99819.8,19.7732,47.9408
'2016-12-23 04:24:19',99826.1,19.7427,47.8497
'2016-12-23 04:34:20',99821.2,19.7122,47.7476
'2016-12-23 04:44:20',99820.3,19.6715,47.6663
'2016-12-23 04:54:20',99835.4,19.6613,47.517
'2016-12-23 05:04:20',99844.5,19.6308,47.4533
'2016-12-23 05:14:20',99853.6,19.6003,47.3512
'2016-12-23 05:24:20',99849.9,19.5597,47.2097
'2016-12-23 05:34:20',99854.9,19.5037,47.0994
'2016-12-23 05:44:20',99872.4,19.4732,46.9535
'2016-12-23 05:54:20',99894.2,19.4173,46.7609
'2016-12-23 06:04:20',99886.1,19.3665,46.6129
'2016-12-23 06:14:20',99932.6,19.3258,46.4879
'2016-12-23 06:24:20',99921.2,19.2546,46.3158
'2016-12-23 06:34:21',99920.7,19.1987,46.074
'2016-12-23 06:44:21',99953.6,19.1428,45.931
'2016-12-23 06:54:21',99982.2,19.1123,45.6974
'2016-12-23 07:04:21',100020,19.0716,45.4244
'2016-12-23 07:14:21',100037,19.036,45.2067
'2016-12-23 07:24:21',100038,19.0106,44.8859
'2016-12-23 07:34:21',100065,18.9649,44.6344
'2016-12-23 07:44:21',100074,18.9547,44.4029
'2016-12-23 07:54:21',100100,18.9395,44.1929
'2016-12-23 08:04:21',100124,18.9191,43.9988
'2016-12-23 08:14:21',100153,18.8886,43.8312
'2016-12-23 08:24:21',100174,18.8835,43.6331
'2016-12-23 08:34:22',100199,18.8835,43.4246
'2016-12-23 08:44:22',100187,18.909,43.1471
'2016-12-23 08:54:22',100197,18.8835,42.9636
'2016-12-23 09:04:22',100200,18.9039,42.6581
'2016-12-23 09:14:22',100217,18.9598,42.2957
'2016-12-23 09:24:22',100217,18.9598,42.076
'2016-12-23 09:34:22',100235,18.9293,41.9688
'2016-12-23 09:44:22',100237,18.9293,41.8151
'2016-12-23 09:54:22',100250,18.9547,41.6198
'2016-12-23 10:04:22',100228,18.9598,41.4335
'2016-12-23 10:14:22',100238,19.0005,41.2011
'2016-12-23 10:24:22',100264,18.9903,41.0134
'2016-12-23 10:34:23',100262,19.031,40.5502
'2016-12-23 10:44:23',100254,19.0513,40.6784
'2016-12-23 10:54:23',100262,19.0818,40.4614
'2016-12-23 11:04:23',100263,19.0716,40.3286
'2016-12-23 11:14:23',100263,19.0208,40.357
'2016-12-23 11:24:23',100258,18.9852,40.4142
'2016-12-23 11:34:23',100271,18.9649,40.2695
'2016-12-23 11:44:23',100250,18.9395,40.3276
'2016-12-23 11:54:23',100259,18.9954,40.1074
'2016-12-23 12:04:23',100257,18.9801,40.0126
'2016-12-23 12:14:23',100255,18.97,39.8743
'2016-12-23 12:24:23',100269,19.0208,39.5986
'2016-12-23 12:34:24',100255,19.1428,39.4501
'2016-12-23 12:44:24',100274,19.1581,39.1546
'2016-12-23 12:54:24',100271,19.3665,38.9914
'2016-12-23 13:04:24',100265,19.5902,38.6918
'2016-12-23 13:14:24',100267,19.8647,38.4789
'2016-12-23 13:24:24',100260,20.1494,38.0681
'2016-12-23 13:34:24',100259,20.3324,37.8687
'2016-12-23 13:44:24',100268,20.5459,37.4896
'2016-12-23 13:54:24',100291,20.5866,37.2833
'2016-12-23 14:04:24',100292,20.5967,37.1021
'2016-12-23 14:14:24',100308,20.5561,36.762
'2016-12-23 14:24:25',100301,20.5967,36.8206
'2016-12-23 14:34:25',100315,20.6323,36.9394
'2016-12-23 14:44:25',100317,20.6781,36.7776
'2016-12-23 14:54:25',100325,20.6781,36.6561
'2016-12-23 15:04:25',100334,20.7187,36.5767
'2016-12-23 15:14:25',100359,20.5205,36.5383
'2016-12-23 15:24:25',100375,20.3425,36.5844
'2016-12-23 15:34:25',100374,20.251,36.4389
'2016-12-23 15:44:25',100396,20.251,36.2238
'2016-12-23 15:54:25',100436,20.0629,36.3463
'2016-12-23 16:04:25',100462,19.9104,36.5764
'2016-12-23 16:14:25',100475,19.641,36.9397
'2016-12-23 16:24:26',100484,19.4377,37.2091
'2016-12-23 16:34:26',100504,19.2851,37.3944
'2016-12-23 16:44:26',100533,19.1682,37.4781
'2016-12-26 10:18:54',102346,24.2215,30.2915
'2016-12-26 10:28:54',102326,24.0486,30.787
'2016-12-26 10:38:54',102301,24.0995,30.0436
'2016-12-26 10:48:54',102267,24.0842,29.6913
'2016-12-26 10:58:54',102246,23.952,29.9445
'2016-12-26 11:08:54',102201,23.6267,30.6244
'2016-12-26 11:18:54',102184,23.2301,30.8587
'2016-12-26 11:28:55',102169,23.6724,30.3212
'2016-12-26 11:38:55',102148,23.9571,30.1065
'2016-12-26 11:48:55',102115,23.5657,30.442
'2016-12-26 11:58:55',102106,23.4894,29.8635
'2016-12-26 12:08:55',102088,23.952,29.6993
'2016-12-26 12:18:55',102051,23.9317,30.4614
'2016-12-26 12:28:55',102032,23.4335,31.2455
'2016-12-26 12:38:55',102023,23.2555,30.293
'2016-12-26 12:48:55',102002,23.647,29.9631
'2016-12-26 12:58:55',101979,23.5046,31.2227
'2016-12-26 13:08:55',101962,23.2301,31.6373
'2016-12-26 13:18:55',101954,22.9861,30.8585
'2016-12-26 13:28:56',101937,23.3521,30.0936
'2016-12-26 13:38:56',101903,23.3826,31.2364
'2016-12-26 13:48:56',101891,23.0522,31.747
'2016-12-26 13:58:56',101895,23.0929,30.4488
'2016-12-26 14:08:56',101862,23.5453,30.1734
'2016-12-26 14:18:56',101819,23.3826,31.0584
'2016-12-26 14:28:56',101818,23.0674,31.3145
'2016-12-26 14:38:56',101816,23.3318,30.2648
'2016-12-26 14:48:56',101818,23.586,29.8922
'2016-12-26 14:58:56',101832,23.7283,29.8627
'2016-12-26 15:08:56',101822,23.4538,30.5402
'2016-12-26 15:18:56',101805,23.0369,31.2456
'2016-12-26 15:28:56',101788,22.7421,31.0917
'2016-12-26 15:38:57',101769,23.3572,30.1886
'2016-12-26 15:48:57',101762,23.9673,29.6278
'2016-12-26 15:58:57',101788,23.9927,29.9082
'2016-12-26 16:08:57',101791,23.3674,30.6122
'2016-12-26 16:18:57',101770,22.8946,31.4135
'2016-12-26 16:28:57',101761,22.9912,30.4919
'2016-12-26 16:38:57',101729,23.5758,29.8024
'2016-12-26 16:48:57',101741,23.5962,30.149
'2016-12-26 16:58:57',101697,23.3267,30.4091
'2016-12-26 17:08:57',101661,23.5046,30.0705
'2016-12-26 17:18:57',101658,23.4335,30.8059
'2016-12-26 17:28:58',101662,23.164,30.9987
'2016-12-26 17:38:58',101677,23.3572,30.4891
'2016-12-26 17:48:58',101680,23.6368,30.1462
'2016-12-26 17:58:58',101661,23.4538,30.9186
'2016-12-26 18:08:58',101668,23.1488,30.9754
'2016-12-26 18:18:12',101646,23.4131,30.2647
'2016-12-26 18:28:12',101628,23.4538,30.4122
'2016-12-26 18:38:12',101604,23.1691,31.2215
'2016-12-26 18:48:12',101605,22.7929,31.7064
'2016-12-26 18:58:12',101593,22.5489,31.5614
'2016-12-26 19:08:13',101571,22.981,30.8915
'2016-12-26 19:18:13',101567,23.22,30.5131
'2016-12-26 19:28:13',101560,22.9302,30.7101
'2016-12-26 19:38:13',101537,22.8793,30.5343
'2016-12-26 19:48:13',101519,23.3013,30.1904
'2016-12-26 19:58:13',101501,23.1081,30.2663
'2016-12-26 20:08:13',101476,22.7929,30.684
'2016-12-26 20:18:13',101450,23.2098,30.0952
'2016-12-26 20:28:13',101451,23.2301,30.1577
'2016-12-26 20:38:13',101435,22.9556,30.3283
'2016-12-26 20:48:13',101412,22.6404,30.7458
'2016-12-26 20:58:13',101373,22.8539,30.3325
'2016-12-26 21:08:13',101347,23.0013,30.0311
'2016-12-26 21:18:13',101339,23.1284,29.9339
'2016-12-26 21:28:13',101314,22.7827,30.0831
'2016-12-26 21:38:14',101288,22.3964,30.4735
'2016-12-26 21:48:14',101261,22.6455,30.1294
'2016-12-26 21:58:14',101232,22.9861,29.752
'2016-12-26 22:08:14',101202,23.1844,29.4815
'2016-12-26 22:18:14',101179,23.3013,29.2387
'2016-12-26 22:28:14',101147,23.1894,29.3093
'2016-12-26 22:38:14',101139,22.6353,29.9954
'2016-12-26 22:48:14',101118,22.6302,29.8506
'2016-12-26 22:58:14',101092,22.2947,30.2778
'2016-12-26 23:08:14',101078,21.8575,30.8194
'2016-12-26 23:18:14',101050,21.4406,31.3002
'2016-12-26 23:28:14',101009,21.0695,31.7556
'2016-12-26 23:38:15',100939,20.6882,32.1984
'2016-12-26 23:48:15',100903,20.3934,32.5361
'2016-12-26 23:58:15',100864,20.1494,32.706
'2016-12-27 00:08:15',100852,20.0274,32.857
'2016-12-27 00:18:15',100836,19.8748,33.083
'2016-12-27 00:28:15',100837,19.6715,33.3436
'2016-12-27 00:38:15',100808,19.4377,33.6346
'2016-12-27 00:48:15',100798,19.2597,33.869
'2016-12-27 00:58:15',100742,19.0818,34.0646
'2016-12-27 01:08:15',100728,18.9293,34.229
'2016-12-27 01:18:15',100680,18.8022,34.3567
'2016-12-27 01:28:15',100681,18.67,34.4949
'2016-12-27 01:38:16',100687,18.5531,34.6233
'2016-12-27 01:48:16',100681,18.4464,34.7798
'2016-12-27 01:58:16',100668,18.3294,34.93
'2016-12-27 02:08:16',100627,18.2278,35.0758
'2016-12-27 02:18:16',100622,18.1312,35.2109
'2016-12-27 02:28:16',100642,18.0498,35.3636
'2016-12-27 02:38:16',100607,17.9685,35.4724
'2016-12-27 02:48:16',100588,17.8872,35.6196
'2016-12-27 02:58:16',100569,17.8211,35.7404
'2016-12-27 03:08:16',100546,17.7601,35.8288
'2016-12-27 03:18:16',100533,17.7194,35.9023
'2016-12-27 03:28:17',100560,17.6432,36.0387
'2016-12-27 03:38:17',100536,17.5618,36.1198
'2016-12-27 03:48:17',100495,17.4957,36.2569
'2016-12-27 03:58:17',100460,17.4347,36.3451
'2016-12-27 04:08:17',100428,17.3737,36.4716
'2016-12-27 04:18:17',100360,17.2975,36.5913
'2016-12-27 04:28:17',100361,17.2212,36.7548
'2016-12-27 04:38:17',100346,17.1755,36.8551
'2016-12-27 04:48:17',100373,17.1196,37.0092
'2016-12-27 04:58:17',100322,17.0636,37.1305
'2016-12-27 05:08:17',100298,17.0179,37.2197
'2016-12-27 05:18:17',100241,16.9721,37.3198
'2016-12-27 05:28:18',100250,16.9264,37.3981
'2016-12-27 05:38:18',100283,16.8705,37.5137
'2016-12-27 05:48:18',100305,16.8501,37.6105
'2016-12-27 05:58:18',100273,16.8095,37.6617
'2016-12-27 06:08:18',100250,16.7891,37.7585
'2016-12-27 06:18:18',100245,16.7586,37.8707
'2016-12-27 06:28:18',100269,16.7332,37.9287
'2016-12-27 06:38:18',100287,16.7078,37.9867
'2016-12-27 06:48:18',100313,16.6925,38.0729
'2016-12-27 06:58:19',100312,16.6722,38.1368
'2016-12-27 07:08:19',100332,16.657,38.1792
'2016-12-27 07:18:19',100326,16.6722,38.2789
'2016-12-27 07:28:19',100346,16.7281,38.4041
'2016-12-27 07:38:19',100338,16.9365,38.5262
'2016-12-27 07:48:19',100382,17.694,37.0683
'2016-12-27 07:58:19',100398,19.0106,35.633
'2016-12-27 08:08:19',100364,20.1697,34.3965
'2016-12-27 08:18:19',100369,21.0238,33.8157
'2016-12-27 08:28:19',100381,21.7762,33.7787
'2016-12-27 08:38:20',100391,22.3659,35.0545
'2016-12-27 08:48:20',100407,22.6912,35.1633
'2016-12-27 08:58:20',100432,23.3216,35.0629
'2016-12-27 09:08:20',100445,24.069,34.1584
'2016-12-27 09:18:20',100468,24.2672,34.2292
'2016-12-27 09:28:20',100461,24.069,35.0936
'2016-12-27 09:38:20',100469,23.9571,34.2501
'2016-12-27 09:48:20',100466,24.3435,34.2852
'2016-12-27 09:58:20',100468,24.3587,34.1972
'2016-12-27 10:08:20',100454,24.13,35.9723
'2016-12-27 10:18:20',100456,23.7538,35.5028
'2016-12-27 10:28:20',100455,23.6063,35.2409
'2016-12-27 10:38:21',100451,23.6165,34.8691
'2016-12-27 10:48:21',100463,23.7283,34.8167
'2016-12-27 10:58:21',100441,23.6622,35.0395
'2016-12-27 11:08:21',100410,23.7131,35.9388
'2016-12-27 11:18:21',100429,23.3776,36.2175
'2016-12-27 11:28:21',100423,23.1945,35.7362
